id_peli,titulo,genero,duracion
1,Adventures of Rocky,Adventure,0
2,My Brother the Devil,Drama,0
3,Criminal,Drama,0
4,Monster in a Box,Comedy,0
5,Lovely Amazing,Comedy,0
6,Sleeping Dictionary,Romance,0
7,Mannequin,Comedy,0,0
8,Rouva presidentti,Documentary,0
9,Fools Parade,Comedy,0
10,Hitcher,Horror,0
11,Longtime Companion,Drama,0
12,San Francisco,Musical,0
13,Werckmeister Harmonies,Drama,0
14,Open Season,Animation,0
15,Antarctica,Adventure,0
16,Love in the Afternoon,Drama,0
17,Wild Tales,Comedy,0
18,Headhunters,Action,0
19,Moby Dick,Drama,0
20,Doors,Drama,0
21,Dont Look in the Basement,Horror,0
22,Lobo,Comedy,0
23,Only Old Men,Comedy,0
24,Killing Bono,Comedy,0
25,My Friend Irma Goes,Musical,0
26,Waiting,Comedy,0
27,Powerpuff Girls,Action,0
28,Brotherhood of Death,Action,0
29,Music Within,Comedy,0
30,Bedford Incident,Drama,0
31,One Shot,Documentary,0
32,Troll,Horror,0
33,Twilight of a Woman,Drama,0
34,Little Girl,Drama,0
35,G Men,Drama,0
36,Camp,Drama,0
37,Finding Forrester,Drama,0
38,The End of the Tour,Drama,0
39,Night Court,Thriller,0
40,Invincible Iron Man,Animation,0
41,Professor Beware,Comedy,0
42,Beans of Egypt,Drama,0
43,Strike Up the Band,Comedy,0
44,Gabriel,Action,0
45,Killjoy 3,Horror,0
46,The Man Who Shook,Comedy,0
47,Boy Meets Girl,Comedy,0
48,True Confession,Comedy,0
49,Violent Men,Western,0
50,Short Film About Love,Drama,0